127.0.0.1, 2015-04-09 23:54:19, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2015-04-09 23:54:20, GET, /welcome/default/index, HTTP/1.1, 200, 1.194000
127.0.0.1, 2015-04-09 23:54:20, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-04-09 23:54:20, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-04-09 23:54:20, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-04-09 23:54:20, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-04-09 23:54:20, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-04-09 23:54:20, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-04-09 23:54:20, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-04-09 23:54:20, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-04-09 23:54:20, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-04-09 23:54:20, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-04-09 23:54:20, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-04-09 23:54:20, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-04-09 23:54:20, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-04-09 23:54:20, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-04-09 23:54:20, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-04-09 23:54:21, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-04-09 23:54:28, GET, /welcome/default/index, HTTP/1.1, 200, 0.017000
127.0.0.1, 2015-04-09 23:54:33, GET, /examples/default/index, HTTP/1.1, 200, 0.020000
127.0.0.1, 2015-04-09 23:54:33, GET, /examples/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-04-09 23:54:33, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-04-09 23:54:33, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.002000
0.002000
127.0.0.1, 2015-04-09 23:54:33, GET, /examples/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-04-09 23:54:33, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-04-09 23:54:33, GET, /examples/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-04-09 23:54:33, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-04-09 23:54:33, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-04-09 23:54:33, GET, /examples/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-04-09 23:54:33, GET, /examples/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-04-09 23:54:33, GET, /examples/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-04-09 23:54:33, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-04-09 23:54:33, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-04-09 23:54:33, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-04-09 23:54:33, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.001000

127.0.0.1, 2015-04-09 23:54:33, GET, /examples/static/images/shadow-bottom.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-04-09 23:54:33, GET, /examples/static/images/questions.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-04-09 23:54:38, GET, /examples/static/images/stripes.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-04-09 23:54:38, GET, /welcome/default/index, HTTP/1.1, 200, 0.015000
127.0.0.1, 2015-04-13 21:58:58, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2015-04-13 21:58:59, GET, /welcome/default/index, HTTP/1.1, 200, 0.345000
127.0.0.1, 2015-04-13 21:58:59, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2015-04-13 21:58:59, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.011000
127.0.0.1, 2015-04-13 21:58:59, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.010000
127.0.0.1, 2015-04-13 21:58:59, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.009000
127.0.0.1, 2015-04-13 21:58:59, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.012000
127.0.0.1, 2015-04-13 21:58:59, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2015-04-13 21:58:59, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.013000
127.0.0.1, 2015-04-13 21:58:59, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.026000
127.0.0.1, 2015-04-13 21:58:59, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2015-04-13 21:58:59, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2015-04-13 21:58:59, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.041000
127.0.0.1, 2015-04-13 21:58:59, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.004000
